,X1,X2,X3,X4,X5,X6,X7,X8,X9,Y1
668,0.64,784.0,343.0,220.5,-3.2810714289526786,4,0.1,2,10.409247953546533,15.34
324,0.62,808.5,367.5,220.5,8.703600740289113,2,0.1,5,10.722912355539997,12.59
624,0.98,514.5,294.0,110.25,16.60063165141489,4,0.1,5,10.550940370885982,24.03
690,0.71,710.5,269.5,220.5,7.205650336792985,3,0.1,5,2.7411967722197152,10.7
473,0.74,686.0,245.0,220.5,1.624737597469424,5,0.1,3,5.1025900448376715,10.38
204,0.64,784.0,343.0,220.5,19.688849753837115,3,0.0,0,6.845808371456359,10.54
97,0.86,588.0,294.0,147.0,16.88904577444974,4,0.25,5,2.734960535470708,28.31
336,0.62,808.5,367.5,220.5,0.9346589955424665,2,0.1,4,9.469207530295199,12.85
568,0.9,563.5,318.5,122.5,5.263863596605036,3,0.1,4,4.358167902989052,28.05
148,0.9,563.5,318.5,122.5,6.845916962124843,3,0.4,5,0.7923860991991093,35.01
667,0.79,637.0,343.0,147.0,5.255632836861009,4,0.25,5,4.009263815431427,39.01
212,0.62,808.5,367.5,220.5,-7.891657219601161,2,0.4,1,12.75227356407363,15.09
199,0.66,759.5,318.5,220.5,4.714063937989923,2,0.1,2,0.6095686358568293,11.45
265,0.79,637.0,343.0,147.0,12.490547655653607,5,0.1,3,-0.26473260204882587,36.7
760,0.66,759.5,318.5,220.5,19.39648889359553,4,0.4,2,4.739727141272006,15.09
356,0.69,735.0,294.0,220.5,1.148264418686542,4,0.1,5,-5.825890402043612,11.11
501,0.79,637.0,343.0,147.0,12.772500041009149,4,0.4,5,8.797409912475462,41.09
457,0.82,612.5,318.5,147.0,-1.1573147095369247,2,0.4,5,2.94266370148563,30.0
604,0.79,637.0,343.0,147.0,9.245091235921091,2,0.4,4,4.576859345243568,42.77
213,0.98,514.5,294.0,110.25,4.866781366124682,3,0.4,1,8.883202357512143,32.26
636,0.62,808.5,367.5,220.5,8.712175930716047,4,0.4,1,5.962625735118536,17.14
544,0.86,588.0,294.0,147.0,5.1616029553984495,3,0.4,2,-7.15062530838535,32.74
86,0.86,588.0,294.0,147.0,13.807183697343778,5,0.1,3,3.5520097957527694,26.46
208,0.86,588.0,294.0,147.0,5.556866545900737,2,0.1,1,-7.161214619965144,26.28
281,0.74,686.0,245.0,220.5,6.4090550609997425,4,0.25,5,-0.7132633071055299,11.64
209,0.69,735.0,294.0,220.5,14.482787797412241,5,0.25,1,8.310635784690275,12.72
581,0.69,735.0,294.0,220.5,7.7770326889794825,3,0.4,2,2.706028622434,14.71
639,0.9,563.5,318.5,122.5,6.947829478164335,2,0.4,4,-1.4673709056756117,36.45
328,0.86,588.0,294.0,147.0,3.9282298243811873,3,0.1,3,2.356925022904388,26.47
431,0.69,735.0,294.0,220.5,14.223688414322783,2,0.1,5,9.991410813079433,11.21
120,0.9,563.5,318.5,122.5,15.31289429936215,2,0.1,4,1.2653502456786274,29.06
363,0.66,759.5,318.5,220.5,3.8981894974476807,5,0.4,4,2.524707783308994,15.3
425,0.74,686.0,245.0,220.5,4.054754696290003,5,0.25,5,8.588563054313944,12.02
300,0.79,637.0,343.0,147.0,-1.697967510902421,2,0.1,5,9.875585675757875,37.03
67,0.66,759.5,318.5,220.5,0.22574049509516803,2,0.1,1,0.24939849962150606,11.68
338,0.71,710.5,269.5,220.5,5.340566073531217,4,0.4,3,0.7219522914400525,13.94
579,0.69,735.0,294.0,220.5,6.616913418967231,3,0.1,2,-2.134312000557757,11.46
66,0.79,637.0,343.0,147.0,1.4422949512875345,4,0.1,4,-0.4388660013832175,35.45
582,0.74,686.0,245.0,220.5,-17.585981912135022,3,0.4,2,6.26602999536404,14.45
78,0.98,514.5,294.0,110.25,1.7350680873979467,2,0.4,1,2.1247831813492937,32.26
482,0.82,612.5,318.5,147.0,2.359574069039656,3,0.4,1,7.890758864217743,29.91
456,0.79,637.0,343.0,147.0,11.516847407148802,5,0.1,2,3.570912276086797,36.03
30,0.74,686.0,245.0,220.5,-11.648917335630285,2,0.1,2,6.18159899939774,10.42
635,0.98,514.5,294.0,110.25,17.19900033022978,2,0.1,5,-6.514523809058625,24.35
33,0.82,612.5,318.5,147.0,0.46329095145447496,2,0.25,1,0.7994263751788608,26.84
31,0.74,686.0,245.0,220.5,5.206349658983509,5,0.25,2,2.3517805529419764,12.3
39,0.71,710.5,269.5,220.5,-4.019224808870917,4,0.1,1,1.9719296633438388,10.7
77,0.82,612.5,318.5,147.0,0.06295827431279744,2,0.25,3,7.95628062786102,24.7
299,0.62,808.5,367.5,220.5,3.773219339904197,4,0.25,4,6.208388803854716,14.61
487,0.98,514.5,294.0,110.25,12.941459346877778,2,0.1,2,-5.62749975509157,24.29
629,0.74,686.0,245.0,220.5,-6.01733327272289,4,0.1,3,9.306990937753863,10.35
516,0.98,514.5,294.0,110.25,6.889298031246102,3,0.4,5,5.9499779074848025,32.72
375,0.62,808.5,367.5,220.5,0.3638988806469632,5,0.4,5,9.65557637782087,16.64
451,0.82,612.5,318.5,147.0,11.114038048142678,5,0.1,5,13.098903348572602,23.86
511,0.98,514.5,294.0,110.25,13.876703095838415,4,0.1,4,6.281517387305274,24.04
234,0.79,637.0,343.0,147.0,4.495535755814766,5,0.4,1,6.750581023761192,41.67
361,0.76,661.5,416.5,122.5,11.60164012885253,4,0.4,2,6.397086071599534,40.57
494,0.9,563.5,318.5,122.5,12.466631942488554,3,0.25,4,0.6078485965719458,31.69
692,0.79,637.0,343.0,147.0,13.785393701333344,3,0.1,3,6.436829990174536,35.48
404,0.62,808.5,367.5,220.5,0.1922787110137918,4,0.1,2,0.37640012856647187,12.97
754,0.66,759.5,318.5,220.5,-2.439873860307072,5,0.1,1,3.6912150662975,11.69
764,0.86,588.0,294.0,147.0,19.433283365718193,4,0.1,2,7.007562675939438,26.33
519,0.74,686.0,245.0,220.5,15.049056027750513,2,0.4,1,7.3682060059864485,14.52
254,0.69,735.0,294.0,220.5,-11.43231961088493,2,0.25,4,-0.9685579347510135,12.91
483,0.98,514.5,294.0,110.25,8.915236004283017,2,0.25,5,-0.8762608193454127,28.69
211,0.66,759.5,318.5,220.5,15.767469610370604,4,0.4,5,7.554395931030026,14.92
210,0.82,612.5,318.5,147.0,-10.694895290636055,3,0.4,4,3.2982357840652194,28.05
84,0.66,759.5,318.5,220.5,5.6004906320154,3,0.1,3,2.8378645367553523,11.6
239,0.74,686.0,245.0,220.5,-0.11672266266464293,4,0.1,5,8.04274064889538,10.34
409,0.69,735.0,294.0,220.5,3.1107811874363906,2,0.25,1,19.635223123267266,12.78
54,0.71,710.5,269.5,220.5,5.177275322197007,5,0.25,5,7.617085660508023,12.27
720,0.64,784.0,343.0,220.5,6.170879732548277,3,0.4,5,-1.0055661072642073,18.19
512,0.69,735.0,294.0,220.5,0.4029548016838831,3,0.4,3,5.094647277848129,14.56
109,0.74,686.0,245.0,220.5,-14.869447625097905,4,0.25,1,0.19535514482054328,12.41
587,0.71,710.5,269.5,220.5,4.185497291226873,4,0.4,4,8.032991238373494,14.47
362,0.74,686.0,245.0,220.5,7.5053257710496775,2,0.4,4,0.8672138472683653,14.37
734,0.86,588.0,294.0,147.0,4.18868611429014,4,0.1,1,6.096754930367935,26.37
396,0.98,514.5,294.0,110.25,5.75281457650666,4,0.4,4,2.9380528004660507,32.21
528,0.66,759.5,318.5,220.5,0.8495329345334182,3,0.25,3,4.0306487996483416,13.01
10,0.64,784.0,343.0,220.5,11.125000363008693,5,0.4,3,2.0779273752583136,18.46
192,0.76,661.5,416.5,122.5,0.5131399103172942,3,0.25,2,2.2838478346888174,36.28
448,0.79,637.0,343.0,147.0,5.164874047455778,3,0.0,0,6.557236086362965,29.9
174,0.62,808.5,367.5,220.5,2.673961918807621,4,0.1,5,7.493683492977268,12.8
428,0.79,637.0,343.0,147.0,2.626559323301877,3,0.4,3,3.6432701758550925,41.3
181,0.69,735.0,294.0,220.5,-1.4308912643158198,2,0.4,2,8.046185663017953,14.75
748,0.76,661.5,416.5,122.5,-1.4712606964528039,2,0.25,1,-1.9744460627454055,36.96
155,0.64,784.0,343.0,220.5,9.245485805663476,4,0.4,2,7.37886081466411,18.9
309,0.86,588.0,294.0,147.0,-0.8493242491174531,3,0.0,0,1.2286086777901817,19.95
65,0.79,637.0,343.0,147.0,-7.152607239112946,5,0.1,4,9.306322072793243,37.1
331,0.66,759.5,318.5,220.5,28.379348448042887,3,0.1,5,7.499243155005053,11.34
137,0.79,637.0,343.0,147.0,5.697656751421646,5,0.4,4,2.728532897335368,42.96
350,0.74,686.0,245.0,220.5,3.4552318493676277,4,0.4,2,7.270256744323808,14.18
81,0.79,637.0,343.0,147.0,0.44593712222801773,2,0.25,4,6.568135350852998,40.0
468,0.9,563.5,318.5,122.5,-3.338101560844949,3,0.0,0,4.666558645468568,21.46
405,0.9,563.5,318.5,122.5,9.08224405266309,2,0.4,5,-0.6423431875378198,35.67
470,0.62,808.5,367.5,220.5,-0.5237981644107448,3,0.0,0,9.207928105899715,8.49
250,0.62,808.5,367.5,220.5,-1.694984306571408,3,0.25,3,8.012904767924072,14.34
490,0.69,735.0,294.0,220.5,10.453248515114186,3,0.1,4,5.385578113886297,11.22
220,0.82,612.5,318.5,147.0,8.517649340883166,4,0.1,2,11.582875672124532,23.67
76,0.82,612.5,318.5,147.0,13.600786117341077,4,0.4,5,5.214012038360773,29.06
548,0.86,588.0,294.0,147.0,9.939853323794434,3,0.25,1,9.903802703876394,30.05
